省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,大嵩,04-01 04:00,Ⅱ,19.0,6.39,7.10,230.5,11.6,1.54,0.111,0.063,3.59,*,*,正常
浙江省,浙闽片河流,大嵩,04-01 12:00,Ⅱ,19.0,6.34,7.28,222.1,11.5,1.90,0.118,0.066,3.54,*,*,正常
浙江省,浙闽片河流,大嵩,04-01 12:00,Ⅱ,19.0,6.34,7.28,222.1,11.5,1.90,0.118,0.066,3.54,*,*,正常
浙江省,浙闽片河流,大嵩,04-01 16:00,Ⅱ,19.3,6.43,7.54,220.0,11.4,1.97,0.112,0.065,3.41,*,*,正常
浙江省,浙闽片河流,大嵩,04-01 20:00,Ⅱ,19.4,6.44,7.33,221.0,10.7,1.90,0.098,0.055,3.43,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 00:00,Ⅱ,19.4,6.43,7.25,221.7,11.0,1.91,0.098,0.053,3.33,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 04:00,Ⅱ,19.3,6.41,7.14,220.6,10.7,2.13,0.092,0.060,3.39,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 08:00,Ⅱ,19.4,6.41,7.08,220.7,10.5,1.70,0.095,0.056,3.32,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 12:00,Ⅱ,20.1,6.39,7.16,210.2,19.3,1.79,0.098,0.052,3.39,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 16:00,Ⅱ,20.5,6.55,8.12,211.1,25.4,2.13,0.089,0.058,3.38,*,*,正常
浙江省,浙闽片河流,大嵩,04-02 20:00,Ⅱ,20.0,6.37,7.37,207.5,22.6,2.03,0.105,0.056,3.39,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 00:00,Ⅱ,19.9,6.30,7.29,207.5,20.9,2.02,0.107,0.055,3.36,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 04:00,Ⅱ,19.9,6.28,7.22,206.4,45.9,1.90,0.097,0.058,3.38,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 08:00,Ⅱ,19.8,6.30,7.81,207.0,33.5,1.84,0.101,0.056,3.30,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 12:00,Ⅱ,19.8,6.29,7.36,206.8,18.1,1.61,0.102,0.052,3.29,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 16:00,Ⅱ,19.9,6.33,7.24,206.7,29.6,1.82,0.098,0.052,3.30,*,*,正常
浙江省,浙闽片河流,大嵩,04-03 20:00,Ⅱ,19.6,6.30,7.20,202.5,30.5,1.78,0.125,0.062,3.32,*,*,正常
浙江省,浙闽片河流,大嵩,04-04 00:00,Ⅱ,19.4,6.29,7.21,201.5,29.4,2.12,0.126,0.063,3.36,*,*,正常
浙江省,浙闽片河流,大嵩,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
浙江省,浙闽片河流,大嵩,04-04 08:00,Ⅱ,19.0,6.32,7.16,204.9,44.0,2.18,0.123,0.067,3.32,*,*,正常
