省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,八角,04-01 08:00,Ⅳ,17.1,7.51,3.75,578.0,11.0,1.48,0.058,0.064,2.32,*,*,正常
四川省,长江流域,八角,04-01 12:00,Ⅲ,18.0,7.57,5.35,591.0,9.9,1.45,0.073,0.076,2.70,*,*,正常
四川省,长江流域,八角,04-01 12:00,Ⅲ,18.0,7.57,5.35,591.0,9.9,1.97,0.670,0.100,3.50,*,*,正常
四川省,长江流域,八角,04-01 16:00,Ⅲ,19.2,7.78,8.57,581.0,12.1,2.15,0.574,0.104,3.64,*,*,正常
四川省,长江流域,八角,04-01 20:00,Ⅲ,17.9,7.68,5.94,589.0,8.0,1.81,0.169,0.088,2.88,*,*,正常
四川省,长江流域,八角,04-02 00:00,Ⅳ,17.4,7.55,3.02,588.0,11.6,1.81,0.169,0.088,2.88,*,*,正常
四川省,长江流域,八角,04-02 04:00,Ⅳ,17.1,7.56,3.19,588.0,9.0,1.58,0.063,0.081,2.26,*,*,正常
四川省,长江流域,八角,04-02 08:00,Ⅳ,16.8,7.58,3.65,591.0,10.2,1.19,0.074,0.081,2.50,*,*,正常
四川省,长江流域,八角,04-02 12:00,Ⅲ,18.4,7.82,7.25,587.0,13.1,1.61,0.100,0.117,2.41,*,*,正常
四川省,长江流域,八角,04-02 16:00,Ⅲ,19.8,8.34,10.14,534.0,14.0,1.69,0.058,0.111,1.93,*,*,正常
四川省,长江流域,八角,04-02 20:00,Ⅲ,19.3,8.71,8.94,23.0,16.8,1.69,0.123,0.111,1.93,*,*,正常
四川省,长江流域,八角,04-03 00:00,Ⅲ,17.3,7.93,6.65,533.0,5.9,1.69,0.123,0.111,1.93,*,*,正常
四川省,长江流域,八角,04-03 04:00,Ⅱ,17.0,7.86,6.53,535.0,5.6,1.43,0.056,0.074,1.70,*,*,正常
四川省,长江流域,八角,04-03 08:00,Ⅱ,17.2,7.86,6.85,535.0,6.2,1.49,0.068,0.077,1.80,*,*,正常
四川省,长江流域,八角,04-03 12:00,Ⅱ,23.4,8.34,10.32,533.0,7.6,1.63,0.064,0.079,1.70,*,*,正常
四川省,长江流域,八角,04-03 16:00,Ⅱ,20.7,8.41,9.37,531.0,8.6,1.72,0.077,0.085,1.66,*,*,正常
四川省,长江流域,八角,04-03 20:00,Ⅱ,18.4,8.14,7.52,542.0,6.9,1.38,0.059,0.071,1.67,*,*,正常
