省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,袁闸,04-01 04:00,Ⅱ,15.1,7.72,7.46,623.4,96.0,3.63,0.212,0.082,2.59,*,*,正常
江苏省,淮河流域,袁闸,04-01 12:00,Ⅲ,15.2,7.69,8.00,622.2,132.5,4.34,0.238,0.134,2.76,*,*,正常
江苏省,淮河流域,袁闸,04-01 12:00,Ⅲ,15.2,7.69,8.00,622.2,132.5,4.34,0.238,0.134,2.76,*,*,正常
江苏省,淮河流域,袁闸,04-01 16:00,Ⅲ,15.1,7.69,8.02,612.3,121.2,4.05,0.216,0.109,2.64,*,*,正常
江苏省,淮河流域,袁闸,04-01 20:00,Ⅲ,14.9,7.67,7.87,614.2,105.0,3.91,0.192,0.110,2.65,*,*,正常
江苏省,淮河流域,袁闸,04-02 00:00,Ⅲ,14.6,7.68,7.49,617.5,87.6,3.61,0.188,0.084,2.45,*,*,正常
江苏省,淮河流域,袁闸,04-02 04:00,Ⅱ,14.7,7.67,7.96,616.7,100.1,3.55,0.172,0.086,2.47,*,*,正常
江苏省,淮河流域,袁闸,04-02 08:00,Ⅱ,14.7,7.63,7.61,630.5,100.0,3.65,0.130,0.084,2.35,*,*,正常
江苏省,淮河流域,袁闸,04-02 12:00,Ⅲ,15.0,7.61,6.95,640.6,100.2,4.38,0.120,0.088,2.41,*,*,正常
江苏省,淮河流域,袁闸,04-02 16:00,Ⅲ,15.1,7.63,7.62,627.0,123.7,3.91,0.135,0.106,2.51,*,*,正常
江苏省,淮河流域,袁闸,04-02 20:00,Ⅲ,14.8,7.65,7.63,617.1,119.5,3.80,0.165,0.102,2.50,*,*,正常
江苏省,淮河流域,袁闸,04-03 00:00,Ⅲ,14.5,7.63,7.53,620.6,191.2,0.25,0.025,0.005,--,*,*,维护
江苏省,淮河流域,袁闸,04-03 08:00,Ⅲ,14.5,7.67,6.33,620.6,129.5,4.15,0.212,0.097,2.50,*,*,正常
江苏省,淮河流域,袁闸,04-03 08:00,Ⅲ,14.5,7.67,6.33,620.6,129.5,4.38,0.190,0.122,2.62,*,*,正常
江苏省,淮河流域,袁闸,04-03 12:00,Ⅲ,14.5,7.63,6.78,621.3,118.8,4.64,0.090,0.087,2.39,*,*,正常
江苏省,淮河流域,袁闸,04-03 16:00,Ⅲ,14.4,7.64,6.99,594.4,110.6,4.47,0.105,0.133,2.67,*,*,正常
江苏省,淮河流域,袁闸,04-03 20:00,Ⅲ,14.1,7.62,6.94,610.6,147.6,4.99,0.189,0.139,2.79,*,*,正常
江苏省,淮河流域,袁闸,04-04 00:00,Ⅲ,13.6,7.64,7.35,616.6,83.5,3.40,0.198,0.089,2.44,*,*,正常
江苏省,淮河流域,袁闸,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
江苏省,淮河流域,袁闸,04-04 08:00,Ⅲ,13.4,7.66,7.37,619.3,100.9,4.11,0.227,0.095,2.55,*,*,正常
